Pos.,Sexe,Nom,Rànquing. Freqüència,Rànquing. ‰
1,H,JOSÉ,20.699,34,30
2,H,ANTONIO,17.402,28,84
3,D,MARIA/MARÍA,15.029,24,91
4,H,FRANCISCO,13.933,23,09
5,D,CARMEN,13.186,21,85
6,H,JUAN,13.041,21,61
7,H,MANUEL,12.100,20,05
8,D,MARÍA DEL CARMEN,12.026,19,93
9,D,JOSEFA,11.024,18,27
10,D,MONTSERRAT,8.578,14,22
11,D,MARIA TERESA/MARÍA TERESA,8.040,13,32
12,D,FRANCISCA,7.652,12,68
13,D,ANTÒNIA/ANTONIA,7.612,12,61
14,D,DOLORES,7.539,12,49
15,D,ISABEL,7.520,12,46
16,H,RAMON/RAMÓN,6.331,10,49
17,H,JOSEP,6.298,10,44
18,D,ROSA,6.285,10,42
19,D,PILAR,5.819,9,64
20,H,JOSÉ MARIA/JOSÉ MARÍA,5.704,9,45
21,H,PEDRO,5.585,9,26
22,D,TERESA,5.486,9,09
23,D,MARIA DOLORES/MARÍA DOLORES,5.372,8,90
24,H,JOAN,4.907,8,13
25,H,MIGUEL,4.876,8,08
26,D,MARIA ROSA/MARÍA ROSA,4.868,8,07
27,D,MERCEDES,4.648,7,70
28,D,CONCEPCIÓN,4.595,7,61
29,D,ANA,4.465,7,40
30,D,JUANA,4.364,7,23
31,D,ANA MARIA/ANA MARÍA,4.244,7,03
32,D,MARIA DEL PILAR/MARÍA DEL PILAR,4.148,6,87
33,H,LUIS,4.075,6,75
34,H,RAFAEL,3.862,6,40
35,D,ROSARIO,3.608,5,98
36,D,MANUELA,3.501,5,80
37,H,ÀNGEL/ÁNGEL,3.477,5,76
38,D,ROSA MARIA/ROSA MARÍA,3.189,5,28
39,D,MARIA LUISA/MARÍA LUISA,3.114,5,16
40,D,ENCARNACIÓN,3.047,5,05
41,H,JAIME,2.894,4,80
42,H,JOAQUÍN,2.858,4,74
43,H,JOSÉ LUIS,2.799,4,64
44,D,MARIA ÁNGELES/MARÍA ÁNGELES,2.789,4,62
45,H,JOSEP MARIA,2.696,4,47
46,H,JESÚS,2.629,4,36
47,H,FERNANDO,2.606,4,32
48,D,MARGARITA,2.507,4,15
49,D,NÚRIA/NURIA,2.462,4,08
50,D,JOSEFINA,2.434,4,03
51,H,JAUME,2.411,4,00
52,H,SALVADOR,2.391,3,96
53,D,MARIA ISABEL/MARÍA ISABEL,2.342,3,88
54,H,JOSÉ ANTONIO,2.311,3,83
55,H,ENRIQUE,2.307,3,82
56,H,CARLOS,2.216,3,67
57,H,JORDI,2.188,3,63
58,D,ÁNGELES,2.178,3,61
59,D,MARIA JOSEFA/MARÍA JOSEFA,2.046,3,39
60,D,ÀNGELA/ÁNGELA,2.014,3,34
61,H,VICENTE,2.012,3,33
62,H,JORGE,1.867,3,09
63,D,MARIA DOLORS/MARÍA DOLORS,1.764,2,92
64,H,PERE,1.723,2,86
65,H,ANDRÉS,1.705,2,83
66,D,MARIA ANTONIA/MARÍA ANTONIA,1.679,2,78
67,H,JUAN JOSÉ,1.653,2,74
68,D,EMÍLIA/EMILIA,1.636,2,71
69,H,SANTIAGO,1.624,2,69
70,H,EMILIO,1.587,2,63
71,H,FRANCESC,1.550,2,57
72,D,MARIA DEL CARME/MARÍA DEL CARME,1.522,2,52
73,D,LUISA,1.512,2,51
74,D,JÚLIA/JULIA,1.501,2,49
75,H,LLUÍS,1.496,2,48
76,D,MERCÈ,1.444,2,39
77,D,GLÒRIA/GLORIA,1.440,2,39
78,D,MAGDALENA,1.423,2,36
79,D,CARME,1.421,2,35
80,H,JUAN ANTONIO,1.410,2,34
81,H,MIQUEL,1.396,2,31
82,D,RAMONA,1.381,2,29
83,H,ANTONI,1.358,2,25
84,H,ALFONSO,1.331,2,21
85,H,AGUSTÍN,1.324,2,19
86,D,CONSUELO,1.284,2,13
87,D,CATALINA,1.281,2,12
88,H,ALBERTO,1.265,2,10
89,D,ELENA,1.264,2,09
90,H,TOMÀS/TOMÁS,1.239,2,05
91,D,DOLORS,1.218,2,02
92,D,AMPARO,1.216,2,02
93,D,VICTÒRIA/VICTORIA,1.203,1,99
94,H,DIEGO,1.180,1,96
95,H,RICARDO,1.179,1,95
96,D,TRINIDAD,1.178,1,95
97,H,EDUARDO,1.172,1,94
98,D,MARIA JESÚS/MARÍA JESÚS,1.152,1,91
99,H,DOMINGO,1.143,1,89
100,D,AURORA,1.133,1,88
101,D,ASUNCIÓN,1.090,1,81
101,D,ROSER,1.090,1,81
103,H,JULIÁN,1.079,1,79
104,D,MARIA ASUNCIÓN/MARÍA ASUNCIÓN,1.068,1,77
105,D,PURIFICACIÓN,1.043,1,73
106,D,MARTA,1.028,1,70
107,D,MATILDE,1.026,1,70
108,D,MARIA MERCEDES/MARÍA MERCEDES,1.024,1,70
109,D,REMEDIOS,985,1,63
110,D,ARACELI,981,1,63
111,D,ENRIQUETA,969,1,61
112,H,FÈLIX/FÉLIX,964,1,60
113,H,JULIO,949,1,57
114,D,ESPERANZA,940,1,56
115,D,ELVIRA,939,1,56
116,D,JOAQUINA,937,1,55
117,D,RAFAELA,910,1,51
118,D,MARIA MONTSERRAT/MARÍA MONTSERRAT,901,1,49
119,H,MARIANO,878,1,45
120,H,JOAQUIM,877,1,45
121,D,ANNA MARIA/ANNA MARÍA,863,1,43
122,D,NATIVIDAD,850,1,41
123,H,FRANCISCO JAVIER,846,1,40
124,H,SEBASTIAN/SEBASTIÁN,816,1,35
125,H,ENRIC,804,1,33
126,D,MARINA,803,1,33
127,H,JOSÉ MANUEL,792,1,31
128,D,MARIA CINTA/MARÍA CINTA,777,1,29
129,D,MARIA ÀNGELS,774,1,28
130,H,JUAN MANUEL,772,1,28
131,D,MILAGROS,770,1,28
132,H,DANIEL,767,1,27
133,D,VICENTA,762,1,26
134,D,CONCEPCIÓ,760,1,26
135,D,ASCENSION/ASCENSIÓN,751,1,24
136,D,ADELA,748,1,24
137,D,SOLEDAD,740,1,23
138,D,ALÍCIA/ALICIA,738,1,22
139,D,LUCÍA,734,1,22
140,D,ENCARNACIO,722,1,20
141,H,GABRIEL,720,1,19
142,D,MARIA CONCEPCIÓN/MARÍA CONCEPCIÓN,713,1,18
142,D,MARIA ROSARIO/MARÍA ROSARIO,713,1,18
144,D,NIEVES,707,1,17
145,D,FELISA,697,1,16
146,H,ALEJANDRO,693,1,15
147,D,LEONOR,689,1,14
148,H,FELIPE,686,1,14
149,D,LOURDES,685,1,14
149,H,PABLO,685,1,14
151,H,ESTEBAN,684,1,13
152,H,CRISTÓBAL,667,1,11
153,H,ALBERT,665,1,10
154,D,INÉS,663,1,10
155,H,LORENZO,651,1,08
156,D,MARIA GLÒRIA/MARÍA GLORIA,649,1,08
157,H,MARTÍN,648,1,07
158,D,ELISA,645,1,07
159,D,MARIA VICTÒRIA/MARÍA VICTORIA,638,1,06
160,H,GREGORIO,633,1,05
161,D,AMÀLIA/AMALIA,632,1,05
162,D,MARÍA JOSÉ,624,1,03
163,D,ROSALIA/ROSALÍA,623,1,03
164,H,ALFREDO,614,1,02
164,H,ISIDRO,614,1,02
166,D,EULÀLIA/EULALIA,613,1,02
167,D,ESTHER,610,1,01
168,D,JOANA,606,1,00
169,D,IRENE,598,0,99
169,H,JAVIER,598,0,99
171,D,MARIA NIEVES/MARÍA NIEVES,584,0,97
172,D,LAURA,582,0,96
173,D,AGUSTINA,570,0,94
174,D,ANNA,534,0,88
175,D,MARIA CRISTINA/MARÍA CRISTINA,532,0,88
176,D,LÍDIA/LIDIA,529,0,88
177,D,PETRA,514,0,85
178,D,ADORACIÓN,507,0,84
179,H,EUGENIO,504,0,84
180,D,FRANCESCA,498,0,83
181,H,VÍCTOR,496,0,82
182,D,MARIA SOLEDAD/MARÍA SOLEDAD,480,0,80
183,D,MARIA LUZ/MARÍA LUZ,469,0,78
184,D,AMÈLIA/AMELIA,467,0,77
185,D,CRISTINA,466,0,77
186,H,IGNACIO,463,0,77
187,D,MARIA LLUÏSA/MARÍA LLUÏSA,460,0,76
188,D,MARIA LOURDES/MARÍA LOURDES,459,0,76
189,D,MARIA ELENA/MARÍA ELENA,450,0,75
190,H,CARLES,437,0,72
190,H,ROBERTO,437,0,72
192,H,GUILLERMO,436,0,72
193,H,VALENTÍN,435,0,72
194,D,JULIANA,427,0,71
195,H,MIGUEL ÀNGEL/MIGUEL ÁNGEL,424,0,70
196,D,HERMÍNIA/HERMINIA,423,0,70
197,D,MARIA MERCÈ/MARÍA MERCÈ,417,0,69
198,D,CÈLIA/CELIA,415,0,69
199,D,ANGELINA,408,0,68
200,H,JOSÉ RAMON/JOSÉ RAMÓN,404,0,67
201,H,FEDERICO,402,0,67
202,D,PIEDAD,396,0,66
203,D,MARIA CRUZ/MARÍA CRUZ,394,0,65
204,D,CECÍLIA/CECILIA,390,0,65
205,H,MOHAMED,385,0,64
206,H,BARTOLOMÉ,381,0,63
207,D,ENCARNA,380,0,63
208,D,MARIA MAGDALENA/MARÍA MAGDALENA,379,0,63
209,H,BENITO,376,0,62
210,H,JACINTO,375,0,62
211,D,GUADALUPE,372,0,62
212,H,NICOLÀS/NICOLÁS,371,0,61
213,D,OLGA,366,0,61
214,D,ADELINA,364,0,60
215,H,AGUSTÍ,361,0,60
215,D,MARIA ÀNGELA/MARÍA ÁNGELA,361,0,60
217,H,XAVIER,356,0,59
218,D,EUGÈNIA/EUGENIA,348,0,58
219,D,MARIA FRANCISCA/MARÍA FRANCISCA,346,0,57
220,D,AURÈLIA/AURELIA,345,0,57
220,D,FILOMENA,345,0,57
220,H,JUAN FRANCISCO,345,0,57
223,H,MARCELINO,344,0,57
224,H,PASCUAL,343,0,57
225,H,ARTURO,341,0,57
226,H,ADOLFO,339,0,56
226,H,MANEL,339,0,56
228,D,JOSEPA,336,0,56
229,D,BEATRIZ,334,0,55
230,H,ANDREU,321,0,53
230,D,MARGARIDA,321,0,53
232,D,CLARA,313,0,52
232,D,GREGÒRIA/GREGORIA,313,0,52
234,D,CÀNDIDA/CÁNDIDA,311,0,52
235,H,ERNESTO,303,0,50
236,D,SÍLVIA/SILVIA,302,0,50
237,H,BERNARDO,299,0,50
238,D,FÀTIMA/FÁTIMA,293,0,49
239,H,FERRAN,290,0,48
240,H,MARIO,289,0,48
240,H,VICTORIANO,289,0,48
242,H,BLAS,288,0,48
243,D,SARA,287,0,48
244,H,DAVID,285,0,47
244,H,FERMÍN,285,0,47
246,H,EUSEBIO,283,0,47
247,D,MARIA PAZ/MARÍA PAZ,282,0,47
248,H,ISIDORO,281,0,47
249,D,PAULA,280,0,46
250,D,NEUS,278,0,46
251,D,FERNANDA,273,0,45
251,D,MARIANA,273,0,45
253,D,FLORENTINA,272,0,45
254,D,INMACULADA,268,0,44
255,D,ESTRELLA,267,0,44
256,H,GONZALO,266,0,44
257,H,ARMANDO,264,0,44
257,H,MARTÍ,264,0,44
259,D,MARÍA DE LOS ÁNGELES,257,0,43
259,D,RITA,257,0,43
261,D,PEPITA,256,0,42
262,H,CARMELO,255,0,42
262,H,JOSÉ MIGUEL,255,0,42
264,H,GINÉS,254,0,42
264,D,VALENTINA,254,0,42
266,H,EDUARD,252,0,42
266,H,ESTEVE,252,0,42
268,H,JUAN RAMON/JUAN RAMÓN,251,0,42
268,H,TEODORO,251,0,42
270,D,TEODORA,250,0,41
271,D,MARIA DEL ROSER/MARÍA DEL ROSER,249,0,41
271,H,RICARD,249,0,41
273,H,FRANCESC XAVIER,248,0,41
274,D,PALMIRA,247,0,41
274,D,PATROCINIO,247,0,41
276,H,DIONISIO,246,0,41
277,H,CÁNDIDO,245,0,41
277,D,MARIA ENCARNACIÓN/MARÍA ENCARNACIÓN,245,0,41
279,H,FLORENCIO,243,0,40
279,D,VIRGÍNIA/VIRGINIA,243,0,40
281,D,NATÀLIA/NATALIA,242,0,40
282,H,VICENÇ,241,0,40
283,D,HORTÈNSIA/HORTENSIA,240,0,40
284,H,AURELIO,239,0,40
285,H,NARCISO,238,0,39
286,D,ANDREA,237,0,39
287,H,JUAN LUIS,236,0,39
287,H,JUAN PEDRO,236,0,39
289,D,ADELAIDA,235,0,39
289,H,GERMÁN,235,0,39
291,D,JOAQUIMA,234,0,39
292,D,ANGUSTIAS,233,0,39
293,H,JUAN BAUTISTA,231,0,38
294,D,MARIA ASSUMPCIÓ,229,0,38
295,D,SALVADORA,227,0,38
296,H,AMADEO,225,0,37
296,D,CAROLINA,225,0,37
296,D,FLORA,225,0,37
299,H,GERARDO,223,0,37
299,D,TOMASA,223,0,37
301,H,JERÓNIMO,221,0,37
301,H,MATÍAS,221,0,37
303,H,NARCÍS,217,0,36
304,D,LLUÏSA,215,0,36
305,D,MARIA NÚRIA/MARÍA NURIA,214,0,35
306,D,VIRTUDES,213,0,35
307,D,GRÀCIA/GRACIA,212,0,35
308,H,AHMED,210,0,35
308,D,BENITA,210,0,35
310,D,MARIA EUGÈNIA/MARÍA EUGENIA,209,0,35
311,D,MARIA CONCEPCIÓ,208,0,34
312,H,JOSÉ FRANCISCO,206,0,34
312,H,MARCOS,206,0,34
314,D,FELICIDAD,205,0,34
315,H,AMADOR,204,0,34
315,D,JACINTA,204,0,34
315,H,JUSTO,204,0,34
318,D,MARCELINA,203,0,34
318,H,SERAFÍN,203,0,34
320,H,MATEO,200,0,33
321,D,FLORÈNCIA/FLORENCIA,199,0,33
321,H,MODESTO,199,0,33
323,H,ISIDRE,195,0,32
323,D,REMEI,195,0,32
325,D,CARIDAD,194,0,32
326,D,ELOÏSA/ELOÍSA,191,0,32
326,D,VISITACIÓN,191,0,32
328,D,AVELINA,190,0,31
328,D,JUANA MARIA/JUANA MARÍA,190,0,31
330,D,ÀNGELS,189,0,31
330,H,FIDEL,189,0,31
330,D,RAQUEL,189,0,31
333,D,ENGRACIA,188,0,31
333,H,ROSENDO,188,0,31
335,D,GENOVEVA,187,0,31
336,H,EMILIANO,186,0,31
336,D,PAQUITA,186,0,31
338,D,PAULINA,185,0,31
339,H,ELÍAS,183,0,30
340,H,JOSEP LLUÍS,181,0,30
341,H,CLAUDIO,180,0,30
341,D,MARIA DEL ROSARIO/MARÍA DEL ROSARIO,180,0,30
341,D,MARIA GRÀCIA/MARÍA GRACIA,180,0,30
341,H,SEBASTIÀ,180,0,30
345,H,JUAN MIGUEL,179,0,30
346,H,SANTOS,178,0,29
347,D,FELIPA,177,0,29
348,H,ILDEFONSO,176,0,29
349,D,GEMMA,175,0,29
350,H,ELOY,174,0,29
350,H,EMILI,174,0,29
350,D,MARTINA,174,0,29
353,H,JUAN MARIA/JUAN MARÍA,173,0,29
354,H,JUAN CARLOS,171,0,28
354,D,REGINA,171,0,28
356,H,ROGELIO,170,0,28
357,H,ANTONIO JOSÉ,169,0,28
357,H,BENJAMÍN,169,0,28
359,D,DELFINA,167,0,28
359,D,MARIA ESTHER/MARÍA ESTHER,167,0,28
361,H,ALONSO,166,0,28
361,H,SERGIO,166,0,28
363,H,CÈSAR/CÉSAR,165,0,27
363,D,JUSTA,165,0,27
365,D,MARIA MANUELA/MARÍA MANUELA,164,0,27
366,D,MARIA CONSUELO,163,0,27
367,H,FELICIANO,161,0,27
367,D,MARIA NEUS/MARÍA NEUS,161,0,27
367,H,MÁXIMO,161,0,27
367,D,SAGRARIO,161,0,27
367,D,SOFÍA/SOFIA,161,0,27
372,D,BLANCA,160,0,27
372,D,MARIA AMPARO/MARÍA AMPARO,160,0,27
374,D,CLOTILDE,158,0,26
374,D,FUENSANTA,158,0,26
374,D,LORENZA,158,0,26
374,D,MARÍA MILAGROS,158,0,26
378,H,CELESTINO,157,0,26
378,D,MICAELA,157,0,26
378,H,PAULINO,157,0,26
378,D,SEBASTIANA,157,0,26
382,D,ALFONSA,156,0,26
382,D,MARIA EULÀLIA/MARÍA EULALIA,156,0,26
382,H,ROMAN/ROMÁN,156,0,26
385,D,CONSOL,155,0,26
386,H,JOSEP ANTONI,154,0,26
387,H,FAUSTINO,153,0,25
387,H,ISMAEL,153,0,25
389,D,ÀGUEDA/ÁGUEDA,151,0,25
389,D,MARIA REMEDIOS/MARÍA REMEDIOS,151,0,25
391,H,FRANCISCO JOSÉ,149,0,25
392,H,RAÜL/RAÚL,148,0,25
392,H,SIMON/SIMÓN,148,0,25
392,D,SUSANA,148,0,25
395,D,BIENVENIDA,147,0,24
396,H,JOAN MARIA/JOAN MARÍA,145,0,24
396,D,MODESTA,145,0,24
398,H,FLORENTINO,144,0,24
398,H,PEDRO JOSÉ,144,0,24
400,D,BALBINA,143,0,24
400,H,CLEMENTE,143,0,24
400,H,ELADIO,143,0,24
400,D,RUFINA,143,0,24
404,H,LUCIANO,142,0,24
404,D,SERAFINA,142,0,24
406,H,ÁLVARO,141,0,23
406,H,HILARIO,141,0,23
406,D,MARIA ESPERANZA/MARÍA ESPERANZA,141,0,23
409,D,OBDULIA,140,0,23
410,H,CECILIO,139,0,23
410,H,GASPAR,139,0,23
410,H,RAIMUNDO,139,0,23
413,D,CONXITA,138,0,23
413,H,PEDRO ANTONIO,138,0,23
415,D,ÀUREA/ÁUREA,137,0,23
415,H,DAMIÁN,137,0,23
417,D,GERTRUDIS,136,0,23
417,D,ISIDORA,136,0,23
417,D,PRESENTACIÓN,136,0,23
417,H,RAMIRO,136,0,23
421,D,CONCHITA,134,0,22
421,D,DIONISIA,134,0,22
421,H,IGNASI,134,0,22
424,D,BRIGIDA/BRÍGIDA,131,0,22
424,D,ISABEL MARIA/ISABEL MARÍA,131,0,22
424,H,JUAN DE DIOS,131,0,22
424,D,MARAVILLAS,131,0,22
428,D,CANDELÀRIA/CANDELARIA,130,0,22
428,H,SATURNINO,130,0,22
430,D,CONSOLACION,129,0,21
431,H,ROBERT,128,0,21
432,D,TERESA MARIA/TERESA MARÍA,126,0,21
433,H,BUENAVENTURA,125,0,21
433,D,FELICIANA,125,0,21
435,H,EVARISTO,124,0,21
435,H,LLORENÇ,124,0,21
437,D,ALEJANDRA,123,0,20
437,H,CASIMIRO,123,0,20
437,H,CAYETANO,123,0,20
437,H,JESÚS MARIA/JESÚS MARIÀ/JESÚS MARÍA,123,0,20
437,D,SOCORRO,123,0,20
442,D,BÀRBARA/BÁRBARA,121,0,20
442,D,ESTER,121,0,20
442,D,GABRIELA,121,0,20
442,D,MARÍA JUANA,121,0,20
446,D,GUILLERMINA,120,0,20
446,H,LEONARDO,120,0,20
448,D,ASSUMPCIÓ,119,0,20
448,H,ERNEST,119,0,20
448,H,MARCELO,119,0,20
448,D,MARIA INMACULADA/MARÍA INMACULADA,119,0,20
452,H,AVELINO,116,0,19
452,D,CELESTINA,116,0,19
452,H,LEANDRO,116,0,19
452,D,MARIA TRINIDAD/MARÍA TRINIDAD,116,0,19
456,D,LYDIA,115,0,19
456,D,RAIMUNDA,115,0,19
456,H,VALERIANO,115,0,19
459,H,BALTASAR,114,0,19
460,D,ADRIANA,113,0,19
460,H,CIPRIANO,113,0,19
460,D,INOCÈNCIA/INOCENCIA,113,0,19
463,D,DOMINGA,110,0,18
463,D,FELICITAS,110,0,18
463,H,JOAN JOSEP,110,0,18
463,D,NICOLASA,110,0,18
467,H,ALFONS,109,0,18
467,H,FREDERIC,109,0,18
467,D,MARIA INÉS/MARÍA INÉS,109,0,18
470,H,ANSELMO,108,0,18
470,H,BASILIO,108,0,18
470,H,PAU,108,0,18
473,H,SEGUNDO,107,0,18
474,D,MARIA BLANCA/MARÍA BLANCA,106,0,18
474,H,RUFINO,106,0,18
474,D,SATURNINA,106,0,18
477,D,AICHA,105,0,17
477,H,MOISÈS/MOISÉS,105,0,17
477,D,SACRAMENTO,105,0,17
480,D,CINTA,104,0,17
480,D,EMILIANA,104,0,17
480,H,JOAN ANTONI,104,0,17
483,D,SABINA,103,0,17
484,H,BIENVENIDO,102,0,17
484,D,ELISABETH,102,0,17
484,D,OTÍLIA/OTILIA,102,0,17
487,D,ILUMINADA,101,0,17
487,D,MARCELA,101,0,17
487,H,VICTORINO,101,0,17
490,H,DEMETRIO,100,0,17
490,H,ELISEO,100,0,17
492,D,ELISABET,99,0,16
492,D,EUSEBIA,99,0,16
492,H,JOSÉ IGNACIO,99,0,16
492,D,VICTORINA,99,0,16
496,H,BALDOMERO,98,0,16
496,D,MARIA PURIFICACIÓN/MARÍA PURIFICACIÓN,98,0,16
496,H,MELCHOR,98,0,16
496,H,VICENS,98,0,16
500,H,ABDESLAM,97,0,16
500,D,FAUSTINA,97,0,16
500,D,FERMINA,97,0,16
503,H,ANASTASIO,96,0,16
503,D,BERTA,96,0,16
503,D,EVA,96,0,16
503,D,IGNACIA,96,0,16
503,D,MARIA JÚLIA/MARÍA JULIA,96,0,16
508,D,ROCÍO,95,0,16
508,D,TRINITAT,95,0,16
510,H,ABEL,94,0,16
510,D,MISERICÒRDIA/MISERICORDIA,94,0,16
510,H,RAFEL,94,0,16
513,H,EULOGIO,93,0,15
513,D,MIGUELA,93,0,15
515,H,BERNABÈ/BERNABÉ,92,0,15
515,H,CESAREO,92,0,15
515,H,JOSÉ VICENTE,92,0,15
515,H,LEOPOLDO,92,0,15
515,D,MARIA ASSUMPTA,92,0,15
515,D,RAHMA,92,0,15
515,D,SALUD,92,0,15
522,D,BASILISA,91,0,15
522,D,LORETO,91,0,15
522,H,MARCIAL,91,0,15
522,D,MARIA ENGRÀCIA/MARÍA ENGRACIA,91,0,15
522,H,TEÓFILO,91,0,15
527,H,LAUREANO,90,0,15
527,H,VALENTÍ,90,0,15
529,H,BENIGNO,89,0,15
529,H,BONIFACIO,89,0,15
529,D,CLÀUDIA/CLAUDIA,89,0,15
529,H,FULGENCIO,89,0,15
533,D,MARIA ESTRELLA/MARÍA ESTRELLA,88,0,15
534,D,MAGDA,87,0,14
534,D,MARIA AURORA/MARÍA AURORA,87,0,14
534,D,MARIA BEGONYA/MARÍA BEGONYA,87,0,14
534,D,MARIA CLARA/MARÍA CLARA,87,0,14
534,H,MOHAMMED,87,0,14
534,H,PLÁCIDO,87,0,14
540,H,CAMILO,86,0,14
540,H,DOMÈNEC,86,0,14
540,H,ÒSCAR/ÓSCAR,86,0,14
540,D,ÚRSULA,86,0,14
544,H,ANTONIO MANUEL,85,0,14
544,H,JOSÉ CARLOS,85,0,14
544,D,MARIA ANGUSTIAS,85,0,14
547,D,BERNARDA,84,0,14
547,H,CARLOS ALBERTO,84,0,14
547,H,ELEUTERIO,84,0,14
547,D,MARIA ELISA/MARÍA ELISA,84,0,14
551,H,BERNARDINO,83,0,14
551,H,LUCAS,83,0,14
553,H,LUIS ALBERTO,82,0,14
553,D,PASCUALA,82,0,14
