Pos.,Sexe,Nom,Rànquing. Freqüència,Rànquing. ‰
1122,H,EUSEBI,23,0,04
1122,D,EUSTAQUIA,23,0,04
1122,D,EVÈLIA/EVELIA,23,0,04
1122,H,FERMÍ,23,0,04
1122,D,FINA,23,0,04
1122,H,FLORIAN,23,0,04
1122,H,HASSAN,23,0,04
1122,H,JESÚS ÀNGEL/JESÚS ÁNGEL,23,0,04
1122,H,JESÚS ANTONIO,23,0,04
1122,H,JORGE ANTONIO,23,0,04
1122,D,JOSEFA ANTÒNIA/JOSEFA ANTONIA,23,0,04
1122,H,JUAN DOMINGO,23,0,04
1122,D,JUDITH,23,0,04
1122,H,MANUEL FRANCISCO,23,0,04
1122,D,MARIA CLAUSTRE/MARÍA CLAUSTRE,23,0,04
1122,D,MARIA IRENE/MARÍA IRENE,23,0,04
1122,D,MARIA JOANA,23,0,04
1122,D,MARIA PATROCINIO,23,0,04
1122,H,MICHEL,23,0,04
1122,H,MUHAMMAD,23,0,04
1122,H,NATALIO,23,0,04
1122,H,SIMEÓN,23,0,04
1152,H,ALEXANDER,22,0,04
1152,H,ANTONIO MIGUEL,22,0,04
1152,H,ATANASIO,22,0,04
1152,D,CONSTANZA,22,0,04
1152,H,DÍDAC,22,0,04
1152,H,DIMAS,22,0,04
1152,D,DOSINDA,22,0,04
1152,D,FABIOLA,22,0,04
1152,D,FATMA,22,0,04
1152,H,FORTUNATO,22,0,04
1152,H,FRANCESCO,22,0,04
1152,D,GEMA,22,0,04
1152,H,GIOVANNI,22,0,04
1152,D,GISELA,22,0,04
1152,D,HABIBA,22,0,04
1152,H,HUMBERTO,22,0,04
1152,D,HUMILDAD,22,0,04
1152,D,JOANA MARIA/JOANA MARÍA,22,0,04
1152,H,JOAQUÍN MARÍA,22,0,04
1152,H,JORGE JUAN,22,0,04
1152,H,JOSEP ANTON/JOSEP ANTÓN,22,0,04
1152,H,LADISLAO,22,0,04
1152,D,MARÍA PRESENTACIÓN,22,0,04
1152,D,NELLY,22,0,04
1152,H,REINALDO,22,0,04
1152,D,RENATE,22,0,04
1152,D,SOLEDAT,22,0,04
1152,D,SYLVIA,22,0,04
1152,D,TAMARA,22,0,04
1181,H,ABDON/ABDÓN,21,0,03
1181,D,ANA ISABEL,21,0,03
1181,D,ANNE MARIE,21,0,03
1181,D,BALDOMERA,21,0,03
1181,D,BLANCA NIEVES,21,0,03
1181,H,CIRIACO,21,0,03
1181,H,CRUZ,21,0,03
1181,H,EVELIO,21,0,03
1181,D,GENARA,21,0,03
1181,D,GLADYS,21,0,03
1181,D,HALIMA,21,0,03
1181,D,ILDEFONSA,21,0,03
1181,H,INOCENTE,21,0,03
1181,H,JOAN MIQUEL,21,0,03
1181,H,JOSÉ DOMINGO,21,0,03
1181,D,MARIA DE GRÀCIA/MARÍA DE GRACIA,21,0,03
1181,D,MARIA DE LA LUZ/MARÍA DE LA LUZ,21,0,03
1181,D,MARIA FLORA,21,0,03
1181,D,MARIA MAR/MARÍA MAR,21,0,03
1181,D,MARÍA TRÁNSITO,21,0,03
1181,H,PEDRO MARIA/PEDRO MARÍA,21,0,03
1181,H,POLICARPO,21,0,03
1181,H,PORFIRIO,21,0,03
1181,D,ROSA ISABEL,21,0,03
1181,D,SETEFILLA,21,0,03
1206,H,ADOLF,20,0,03
1206,H,ADRIÀ,20,0,03
1206,D,ALBERTINA,20,0,03
1206,H,ALLAL,20,0,03
1206,H,ANIBAL/ANÍBAL,20,0,03
1206,D,ANSELMA,20,0,03
1206,D,ANUNCIACIO,20,0,03
1206,D,BUENAVENTURA,20,0,03
1206,H,CARLOS JOSÉ,20,0,03
1206,D,ESCOLÀSTICA/ESCOLÁSTICA,20,0,03
1206,H,EUFRASIO,20,0,03
1206,D,FABIANA,20,0,03
1206,H,FACUNDO,20,0,03
1206,H,FRANCESC JOSEP,20,0,03
1206,H,GERÓNIMO,20,0,03
1206,D,ÍNGRID,20,0,03
1206,H,JORGE ALBERTO,20,0,03
1206,H,JOSÉ EDUARDO,20,0,03
1206,H,JUAN AGUSTÍN,20,0,03
1206,H,JULIO ALBERTO,20,0,03
1206,D,LEONCIA,20,0,03
1206,D,LIUBOV,20,0,03
1206,H,LUIS ENRIQUE,20,0,03
1206,H,LUIS JAVIER,20,0,03
1206,H,LUIS JOSÉ,20,0,03
1206,D,MARIA RAQUEL/MARÍA RAQUEL,20,0,03
1206,D,MARÍA ROCÍO,20,0,03
1206,D,MARUJA,20,0,03
1206,H,NÈSTOR/NÉSTOR,20,0,03
1206,H,PERE JOAN,20,0,03
1206,H,PÍO,20,0,03
1206,H,REGINO,20,0,03
1206,H,SABINO,20,0,03
1206,D,SEVERIANA,20,0,03
1206,D,TEODOSIA,20,0,03
1206,H,UBALDO,20,0,03
1206,D,URBANA,20,0,03
1206,D,VIOLETA,20,0,03
1244,H,ABDELLAH,19,0,03
1244,D,ANA TERESA,19,0,03
1244,H,ANTONIO FRANCISCO,19,0,03
1244,H,CARLOS MARIA/CARLOS MARÍA,19,0,03
1244,D,DESIDERIA,19,0,03
1244,D,DORIS,19,0,03
1244,D,DULCE,19,0,03
1244,H,EUTIMIO,19,0,03
1244,H,FRANCISCO MIGUEL,19,0,03
1244,H,FRANCO,19,0,03
1244,H,GILBERTO,19,0,03
1244,H,HONORATO,19,0,03
1244,H,JOAN CARLES,19,0,03
1244,H,JOSÉ ALFONSO,19,0,03
1244,H,JOSÉ SALVADOR,19,0,03
1244,D,KARIN,19,0,03
1244,D,MAITE,19,0,03
1244,H,MARCO ANTONIO,19,0,03
1244,D,MARIA AMOR,19,0,03
1244,D,MARIA ELOÍSA/MARÍA ELOÏSA,19,0,03
1244,D,MARIA IMMACULADA,19,0,03
1244,D,MARIA LÍDIA/MARÍA LIDIA,19,0,03
1244,D,MARIA PAULA/MARÍA PAULA,19,0,03
1244,H,MAXIMIANO,19,0,03
1244,H,MIGUEL ANTONIO,19,0,03
1244,D,MIMOUNA,19,0,03
1244,D,MONIKA,19,0,03
1244,H,NICOMEDES,19,0,03
1244,D,NURI,19,0,03
1244,D,OLVIDO,19,0,03
1244,H,ORENCIO,19,0,03
1244,H,QUINTÍN,19,0,03
1244,H,ROC,19,0,03
1244,D,SALOMÉ,19,0,03
1244,H,SEVERO,19,0,03
1244,D,SIERRA,19,0,03
1280,D,ADORACIÓ,18,0,03
1280,D,ALMUDENA,18,0,03
1280,H,AMANDO,18,0,03
1280,H,ANSELM,18,0,03
1280,H,ATILANO,18,0,03
1280,D,BLANCA ROSA,18,0,03
1280,D,CAPILLA,18,0,03
1280,H,CASTO,18,0,03
1280,H,CHRISTIAN,18,0,03
1280,D,CLARISA,18,0,03
1280,D,GUILLERMA,18,0,03
1280,H,JERONI,18,0,03
1280,H,JOSÉ EMILIO,18,0,03
1280,H,JOSÉ FÉLIX,18,0,03
1280,H,JOSEP FRANCESC,18,0,03
1280,H,JUAN ALFONSO,18,0,03
1280,D,JÚLIA MARIA/JULIA MARÍA,18,0,03
1280,D,LILIANE,18,0,03
1280,D,LOLITA,18,0,03
1280,D,LURDES,18,0,03
1280,H,MANUEL LUIS,18,0,03
1280,D,MARIA DE LA SIERRA/MARÍA DE LA SIERRA,18,0,03
1280,D,MARIA DEL SOCORRO,18,0,03
1280,D,MARIA DÈLIA/MARÍA DELIA,18,0,03
1280,D,MARIA HELENA/MARÍA HELENA,18,0,03
1280,D,MARIA HERMINIA,18,0,03
1280,D,MARIA QUERALT/MARÍA QUERALT,18,0,03
1280,D,MARIA SAMPEDRO,18,0,03
1280,H,MAURO,18,0,03
1280,H,ORLANDO,18,0,03
1280,H,PEDRO MIGUEL,18,0,03
1280,H,PEDRO RAMON/PEDRO RAMÓN,18,0,03
1280,H,RENÉ,18,0,03
1280,D,ROBLEDO,18,0,03
1280,D,ROSA CARMEN,18,0,03
1280,D,ROSA ELENA,18,0,03
1280,D,SAADIA,18,0,03
1280,H,SADURNÍ,18,0,03
1280,H,SEGISMUNDO,18,0,03
1280,D,STELLA MARIS,18,0,03
1280,D,SUSANA BEATRIZ,18,0,03
1280,D,VALENTYNA,18,0,03
1280,D,VENTURA,18,0,03
1324,D,ADELIA,17,0,03
1324,D,ANA CARMEN,17,0,03
1324,D,ANICETA,17,0,03
1324,H,ANTONIO JESÚS,17,0,03
1324,D,CARMEN PILAR,17,0,03
1324,H,CONSUELO,17,0,03
1324,D,DARIA/DARÍA,17,0,03
1324,D,EDITH,17,0,03
1324,D,ELIONOR,17,0,03
1324,D,ERIKA,17,0,03
1324,D,FELICISIMA,17,0,03
1324,D,GERMANA,17,0,03
1324,D,HERMELINDA,17,0,03
1324,D,HERMENEGILDA,17,0,03
1324,H,JAIME JOSÉ,17,0,03
1324,D,JAVIERA,17,0,03
1324,H,JEAN CLAUDE,17,0,03
1324,H,JOSÉ JULIÁN,17,0,03
1324,H,JOSEP MIQUEL,17,0,03
1324,H,JUAN DIEGO,17,0,03
1324,D,JUANA DOLORES,17,0,03
1324,D,LUZ MARIA/LUZ MARÍA,17,0,03
1324,H,MANUEL ENRIQUE,17,0,03
1324,D,MARIA ADELAIDA,17,0,03
1324,D,MARÍA CARIDAD,17,0,03
1324,D,MARÍA DEL PRADO,17,0,03
1324,D,MARIA FELICIDAD/MARÍA FELICIDAD,17,0,03
1324,D,MARIA HORTÈNSIA/MARÍA HORTENSIA,17,0,03
1324,D,MARIA MISERICÒRDIA/MARÍA MISERICORDIA,17,0,03
1324,D,MIRACLE,17,0,03
1324,D,MIREIA,17,0,03
1324,D,NICASIA,17,0,03
1324,D,PERPETUA,17,0,03
1324,D,SAMPEDRO,17,0,03
1324,D,SANTA,17,0,03
1324,D,SILVINA,17,0,03
1324,D,SIXTA,17,0,03
1324,H,VALERIO,17,0,03
1362,H,ADELINO,16,0,03
1362,D,AGAPITA,16,0,03
1362,H,AMAR,16,0,03
1362,D,ANA ANTÒNIA/ANA ANTONIA,16,0,03
1362,H,ÁNGEL FRANCISCO,16,0,03
1362,H,AUGUST,16,0,03
1362,D,BERNABELA,16,0,03
1362,H,CASIANO,16,0,03
1362,D,CELINA,16,0,03
1362,H,DAMIÀ,16,0,03
1362,D,DOLORES MARIA/DOLORES MARÍA,16,0,03
1362,D,ELIDA,16,0,03
1362,H,EVARIST,16,0,03
1362,H,FELICISIMO,16,0,03
1362,H,FRANCISCO RAMON/FRANCISCO RAMÓN,16,0,03
1362,H,FROILÁN,16,0,03
1362,H,GHEORGHE,16,0,03
1362,H,IDELFONSO,16,0,03
1362,H,IVAN/IVÁN,16,0,03
1362,H,JOAQUIM MARIA,16,0,03
1362,H,JOSEP JOAN,16,0,03
1362,H,JUAN RAFAEL,16,0,03
1362,H,LEOVIGILDO,16,0,03
1362,H,LUIS FRANCISCO,16,0,03
1362,D,MARGARET,16,0,03
1362,D,MARIA ADELINA/MARÍA ADELINA,16,0,03
1362,D,MARIA ANDREA/MARÍA ANDREA,16,0,03
1362,D,MARIA BERTA,16,0,03
1362,D,MARIA DIVINA,16,0,03
1362,D,MARIA OTILIA,16,0,03
1362,D,MARIONA,16,0,03
1362,D,MARTA BEATRIZ,16,0,03
1362,D,MIREYA,16,0,03
1362,D,NOEMÍ/NOEMI,16,0,03
1362,H,NORBERT,16,0,03
1362,H,OMAR,16,0,03
1362,H,PEDRO JESÚS,16,0,03
1362,D,RKIA,16,0,03
1362,H,ROMA/ROMÀ,16,0,03
1362,D,ROMUALDA,16,0,03
1362,D,ROSALBA,16,0,03
1362,H,SENÉN,16,0,03
1362,H,SERAFÍ,16,0,03
1362,H,TEODOMIRO,16,0,03
1362,D,TERESINA,16,0,03
1362,H,TIBURCIO,16,0,03
1408,D,AMBROSIA,15,0,02
1408,H,ANDRE/ANDRÉ,15,0,02
1408,H,ÀNGEL MARIA/ÁNGEL MARÍA,15,0,02
1408,H,ANTONIO JUAN,15,0,02
1408,H,ARTEMIO,15,0,02
1408,H,AURELI,15,0,02
1408,D,BEATRIU,15,0,02
1408,H,BENJAMÍ,15,0,02
1408,D,CORNELIA,15,0,02
1408,H,DOSITEO,15,0,02
1408,H,EDELMIRO,15,0,02
1408,D,ELIDIA,15,0,02
1408,D,EUDOSIA,15,0,02
1408,H,FERNANDO LUIS,15,0,02
1408,D,GERONIMA,15,0,02
1408,H,GERVASIO,15,0,02
1408,D,GRANADA,15,0,02
1408,H,HERIBERTO,15,0,02
1408,H,HERMOGENES,15,0,02
1408,D,IRMA,15,0,02
1408,H,JOAN MANEL,15,0,02
1408,D,JORDINA,15,0,02
1408,H,JOSÉ GABRIEL,15,0,02
1408,H,JOSÉ JORGE,15,0,02
1408,H,JOSEP MANEL,15,0,02
1408,D,JOSETTE,15,0,02
1408,D,LAUDELINA,15,0,02
1408,H,LAYACHI,15,0,02
1408,H,LEOCADIO,15,0,02
1408,H,LUIS ÀNGEL,15,0,02
1408,D,MARIA CANDELA/MARÍA CANDELA,15,0,02
1408,D,MARIA FRANCESCA/MARÍA FRANCESCA,15,0,02
1408,D,MARIA GEMMA/MARÍA GEMMA,15,0,02
1408,D,MARÍA YOLANDA,15,0,02
1408,D,MARIANA DE JESÚS,15,0,02
1408,D,MARIANNE,15,0,02
1408,D,MÍRIAM/MIRIAM,15,0,02
1408,H,MUSTAPHA,15,0,02
1408,D,NORA,15,0,02
1408,D,OLGA MARIA/OLGA MARÍA,15,0,02
1408,H,ONOFRE,15,0,02
1408,H,PELAYO,15,0,02
1408,D,PEREGRINA,15,0,02
1408,H,ROBUSTIANO,15,0,02
1408,D,SILVERIA,15,0,02
1408,H,SILVIO,15,0,02
1408,H,VICENT,15,0,02
1408,H,WALTER,15,0,02
1408,D,YVONNE,15,0,02
1457,H,ALBERTO JOSÉ,14,0,02
1457,D,ALEXANDRA,14,0,02
1457,D,ALFONSINA,14,0,02
1457,D,AMABLE,14,0,02
1457,D,AMÈRICA/AMÉRICA,14,0,02
1457,D,ANA MERCEDES,14,0,02
1457,H,ANTONI MARIA,14,0,02
1457,H,ANTONIO ÀNGEL/ANTONIO ÁNGEL,14,0,02
1457,D,ASCENSIO,14,0,02
1457,H,CARLOS LUIS,14,0,02
1457,H,CASTOR,14,0,02
1457,D,EFIGENIA,14,0,02
1457,D,ESTELA,14,0,02
1457,D,EXPECTACION,14,0,02
1457,H,FERNANDO JOSÉ,14,0,02
1457,H,FRANCISCO JESÚS,14,0,02
1457,D,FRANÇOISE,14,0,02
1457,D,GABRIELE,14,0,02
1457,H,GAIETÀ/GAIETA,14,0,02
1457,D,GALYNA,14,0,02
1457,D,HEIDI,14,0,02
1457,D,HONORINA,14,0,02
1457,H,JENARO,14,0,02
1457,H,JOHN,14,0,02
1457,H,JUAN ANTON,14,0,02
1457,H,JUAN SALVADOR,14,0,02
1457,H,LARBI,14,0,02
1457,D,LETÍCIA/LETICIA,14,0,02
1457,D,LUDIVINA,14,0,02
1457,H,LUIS FELIPE,14,0,02
1457,H,LUIS RAMON/LUIS RAMÓN,14,0,02
1457,D,MANELA,14,0,02
1457,H,MANUEL RAMON/MANUEL RAMÓN,14,0,02
1457,H,MARIÀ,14,0,02
1457,D,MARIA AMÀLIA/MARÍA AMALIA,14,0,02
1457,D,MARIA CLEOFE,14,0,02
1457,D,MARIA DEL SOL/MARÍA DEL SOL,14,0,02
1457,D,MARIA ENCARNA,14,0,02
1457,D,MARIA GADOR/MARÍA GADOR,14,0,02
1457,D,MARIA PALOMA/MARÍA PALOMA,14,0,02
1457,D,MARIA RAFAELA,14,0,02
1457,D,MARIA REGINA/MARÍA REGINA,14,0,02
1457,D,MARIA TISCAR,14,0,02
1457,D,MARIA TOMASA,14,0,02
1457,D,MARIELA,14,0,02
1457,D,MARIYA,14,0,02
1457,H,MELCIOR,14,0,02
1457,H,MOHAMMAD,14,0,02
1457,D,NANCY,14,0,02
1457,H,ORIOL,14,0,02
1457,H,PAÜL/PAÚL,14,0,02
1457,H,PIERRE,14,0,02
1457,H,SALOMÓN,14,0,02
1457,H,SALVI,14,0,02
1457,H,ULPIANO,14,0,02
1457,H,WERNER,14,0,02
1513,H,ABDESSELAM,13,0,02
1513,H,ABRAHAM,13,0,02
1513,H,ALAIN,13,0,02
1513,D,ANA FRANCISCA,13,0,02
1513,D,ANA LUISA,13,0,02
1513,D,ANNE,13,0,02
1513,H,BALDIRI,13,0,02
1513,D,BALTASARA,13,0,02
1513,D,BRUNA,13,0,02
1513,H,CARLOS JAVIER,13,0,02
1513,H,CONSTANCIO,13,0,02
1513,D,DORITA,13,0,02
1513,D,ELKE,13,0,02
1513,D,ERNESTA,13,0,02
1513,D,FRANCOISE,13,0,02
1513,H,GENEROSO,13,0,02
1513,D,HERMINDA,13,0,02
1513,H,HERNÁN,13,0,02
1513,D,INOCENTA,13,0,02
1513,H,IOAN,13,0,02
1513,D,IRINA,13,0,02
1513,H,JEAN PAUL,13,0,02
1513,H,JOSÉ DAVID,13,0,02
1513,H,JOSÉ JESÚS,13,0,02
1513,H,JOSEP IGNASI,13,0,02
1513,H,JUAN FERNANDO,13,0,02
1513,H,JUSTINIANO,13,0,02
1513,D,LEONISA,13,0,02
1513,D,LUCITA,13,0,02
1513,D,LUISA FERNANDA,13,0,02
1513,D,MARAVILLA,13,0,02
1513,D,MARÍA ANGUSTIA,13,0,02
1513,D,MARIA BELLA/MARÍA BELLA,13,0,02
1513,D,MARÍA DE LOS SANTOS,13,0,02
1513,D,MARIA GREGORIA,13,0,02
1513,D,MARIA JACINTA,13,0,02
1513,D,MARÍA LLANOS,13,0,02
1513,D,MARIA OFELIA,13,0,02
1513,D,MARIA RESURRECCION,13,0,02
1513,D,MARIE THERESE,13,0,02
1513,D,MARTINE,13,0,02
1513,H,MILLAN/MILLÁN,13,0,02
1513,H,NAZARIO,13,0,02
1513,H,OLEGUER,13,0,02
1513,D,PATROCINIA,13,0,02
1513,H,PAULO,13,0,02
1513,H,PEDRO FRANCISCO,13,0,02
1513,H,PEDRO PABLO,13,0,02
1513,H,RICHARD,13,0,02
1513,H,RIGOBERTO,13,0,02
1513,D,ROSALINDA,13,0,02
1513,H,SALVATORE,13,0,02
1513,D,SUSAN,13,0,02
1513,D,SUSANNA,13,0,02
1513,D,TECLA,13,0,02
1513,D,TELESFORA,13,0,02
1513,H,TIRSO,13,0,02
1513,H,TRINIDAD,13,0,02
1513,H,VASILE,13,0,02
1513,D,VENANCIA,13,0,02
1513,H,VIKTOR,13,0,02
1513,D,ZOILA,13,0,02
1575,H,ABDERRAHMAN,12,0,02
1575,H,AHMAD,12,0,02
1575,D,ALTAGRACIA,12,0,02
1575,H,ÀNGEL CUSTODIO/ÁNGEL CUSTODIO,12,0,02
1575,H,ÀNGEL MIGUEL/ÁNGEL MIGUEL,12,0,02
1575,D,ANNIE,12,0,02
1575,H,ANTHONY,12,0,02
1575,H,APOLONIO,12,0,02
1575,D,AURITA,12,0,02
1575,H,CARLO,12,0,02
1575,D,CARMEN TERESA,12,0,02
1575,H,CAYO,12,0,02
1575,D,CLEOFE,12,0,02
1575,D,CONXA,12,0,02
1575,D,CORAL,12,0,02
1575,D,DANIELLE,12,0,02
1575,D,DULCE MARIA/DULCE MARÍA,12,0,02
1575,H,EL HASSAN,12,0,02
1575,D,ELISA MARIA/ELISA MARÍA,12,0,02
1575,H,EUTIQUIO,12,0,02
1575,D,FLOR,12,0,02
1575,H,FRANCISCO JUAN,12,0,02
1575,D,HANNELORE,12,0,02
1575,H,HORTENSIO,12,0,02
1575,H,JACOBO,12,0,02
1575,D,JANET,12,0,02
1575,D,JOANNA,12,0,02
1575,H,JOAQUÍN JOSÉ,12,0,02
1575,H,JOSÉ AGUSTÍN,12,0,02
1575,H,JOSÉ ALEJANDRO,12,0,02
1575,H,JOSÉ DANIEL,12,0,02
1575,H,JOSÉ PABLO,12,0,02
1575,D,JOSEFA DOLORES,12,0,02
1575,D,JUANA ROSA,12,0,02
1575,D,LARISA,12,0,02
1575,H,LISARDO,12,0,02
1575,H,LOPE,12,0,02
1575,D,LUZ MARINA,12,0,02
1575,H,MARCELIANO,12,0,02
1575,D,MARIA AURÈLIA/MARÍA AURELIA,12,0,02
1575,D,MARIA CABEZA,12,0,02
1575,D,MARIA CAMINO,12,0,02
1575,D,MARIA DE LA CABEZA,12,0,02
1575,D,MARIA DEL REMEI,12,0,02
1575,D,MARIA DEL TURA/MARÍA DEL TURA,12,0,02
1575,D,MARIA ELSA,12,0,02
1575,D,MARIA ESPERANÇA,12,0,02
1575,D,MARIA FÀTIMA/MARÍA FÁTIMA,12,0,02
1575,D,MARIA GLADYS,12,0,02
1575,D,MARIA GRACIELA,12,0,02
1575,D,MARIA MILAGROSA,12,0,02
1575,D,MARIA OBDULIA,12,0,02
1575,D,MARIA PURA,12,0,02
1575,D,MARIA SACRAMENTO,12,0,02
1575,D,MARLENE,12,0,02
1575,D,MARTA MARIA/MARTA MARÍA,12,0,02
1575,D,MATEA,12,0,02
1575,H,MAURICI,12,0,02
1575,H,MOKHTAR,12,0,02
1575,H,ODILO,12,0,02
1575,D,OLEGARIA,12,0,02
1575,D,OVIDIA,12,0,02
1575,D,PALOMA,12,0,02
1575,D,PILAR MARIA/PILAR MARÍA,12,0,02
1575,D,RHIMOU,12,0,02
1575,H,ROLANDO,12,0,02
1575,D,ROSA ANA,12,0,02
1575,D,ROSA PILAR,12,0,02
1575,H,RUDOLF,12,0,02
1575,H,SAID/SAÏD,12,0,02
1575,H,SALVIO,12,0,02
1575,D,SECUNDINA,12,0,02
1575,D,SILVESTRA,12,0,02
1575,H,VALERO,12,0,02
1575,H,ZOILO,12,0,02
1650,H,ABDELAZIZ,11,0,02
1650,H,ABUNDIO,11,0,02
1650,H,ACISCLO,11,0,02
1650,H,ÀLVAR,11,0,02
1650,D,AMANCIA,11,0,02
1650,D,ANA CRISTINA,11,0,02
1650,D,ANA VICTÒRIA/ANA VICTORIA,11,0,02
1650,H,APOLINAR,11,0,02
1650,H,ARMENGOL,11,0,02
1650,H,ARNALDO,11,0,02
1650,D,ARSENIA,11,0,02
1650,D,ASCENCION,11,0,02
1650,D,AYADA,11,0,02
1650,D,BEATRICE,11,0,02
1650,H,BENAISSA,11,0,02
1650,D,BERNADETTE,11,0,02
1650,H,BRIGIDO,11,0,02
1650,D,CANDELAS,11,0,02
1650,H,CARLOS RAMON/CARLOS RAMÓN,11,0,02
1650,D,CIRILA,11,0,02
1650,H,CRISPIN,11,0,02
1650,H,DALMACIO,11,0,02
1650,D,DEOGRACIAS,11,0,02
1650,H,EUSTASIO,11,0,02
1650,D,EVA MARIA/EVA MARÍA,11,0,02
1650,D,EVELINA,11,0,02
1650,D,EXPIRACION,11,0,02
1650,H,FRANCESC DE PAULA,11,0,02
1650,H,FRANCISCO ASIS,11,0,02
1650,H,GUZMÁN,11,0,02
1650,D,HANNA,11,0,02
1650,H,HERNANDO,11,0,02
1650,H,HUGO,11,0,02
1650,D,INDALECIA,11,0,02
1650,D,ISABEL ANA,11,0,02
1650,D,ISABEL ROSA,11,0,02
1650,H,ISABELO,11,0,02
1650,D,JENNIFER,11,0,02
1650,H,JORGE EDUARDO,11,0,02
1650,H,JOSÉ EUGENIO,11,0,02
1650,H,JOSÉ JULIO,11,0,02
